from,to,cost
9372946,4400,6.467
7522452,13447,8.855
13684,7193670,6.903
4394,4105885,5.395
15520,11304,8.207
18689,9207775,8.117
39725,1373153,7.999
9155490,7193670,7.777
9908978,1604694,6.543
9745980,1167510,4.718
9750541,4359,8.194
9424598,9527826,6.728
20087,3675009,10.552
16195,24570,8.681
3195,9745980,5.588
9750550,9303189,5.056
4251,31392,5.697
5775655,9073973,5.41
9473700,11304,5.76
18961,6237,7.914
7531362,7703317,7.16
1369385,6715133,8.016
12377,9106464,7.679
24562,9527826,8.392
27423,18910,9.136
21540,3645940,5.305
31762,5124417,8.02
83399,7522452,7.078
9447342,9564810,6.953
13514,13514,4.163
3657469,10239,9.708
9543414,20400,7.139
10242,6122,5.214
5321468,30292,9.548
42035,6157,5.146
45556,3741192,9.74
7510,25116,5.227
5607094,5321468,8.747
9763449,14249,7.636
1358316,18467,4.601
17876,5089549,6.341
15849,24570,10.573
OS,7258321,2.857
20052,27000,7.445
9398937,12831,8.342
638560,11444,6.179
4403,3585905,5.71
9413243,9833510,5.159
16608,24805,11.327
705187,27472,10.015
9078673,34606,7.448
9772812,9079254,5.332
15520,9079254,7.946
53,9225749,5.22
19615,20370,5.239
4404,7977336,4.771
107,30632,4.418
42035,47333,9.749
24406,1378724,8.899
3195,7878826,4.606
4359,3638,5.952
4224701,7521871,6.228
24341,9776370,5.565
9073973,9750541,5.054
7439873,7529279,5.191
7635010,10170,5.434
17861,2781484,7.663
1604694,29521,8.038
3585905,7925662,5.536
12733,3225143,4.669
9239685,169846,4.749
19534,15415,7.829
7994206,7416717,4.475
20795,7165536,11.234
9303235,9079254,4.538
1367072,2232,10.212
5035449,13030,7.066
20265,1150294,10.307
3107558,6090206,7.179
14397,9048545,8.217
24694,30276,8.72
9111654,9519319,9.531
1373900,18910,7.014
5317886,9692517,5.496
21089,10090,5.434
5556937,90565,8.114
9750541,17876,6.423
9155490,21774,4.64
9517910,17855,4.496
9745980,3503526,4.489
4236580,9598,4.452
9146962,1374656,8.368
11790,7464010,7.651
4105885,12735,8.422
1528092,1167510,6.248
5607094,9007822,5.785
7969961,20095,6.627
14688,31976,7.403
80675,9794948,7.013
9078673,7710020,4.657
9719300,27050,6.115
19712,20117,6.144
14443,24805,11.522
6742,3077,10.56
5053,7466315,4.667
3657469,9048545,9.616
9905855,22616,9.836
9866060,6407889,4.425
17329,18476,7.686
19534,7969961,7.529
83399,9155490,7.537
157,9078673,5.282
7768869,19658,8.573
3675009,22225,8.341
7415788,1374680,11.655
7686790,10339,4.475
17566,17329,4.818
5975,45685,5.881
14931,9763449,5.927
25402,7897944,9.2
1528092,143359,6.115
20370,23906,6.213
9050868,9527800,10.88
27537,9307303,8.234
9598,8788,4.313
10170,19712,9.296
8254,7530935,4.531
4618,42035,7.217
9078673,11444,5.708
5089549,7686811,4.163
CB,17876,2.857
29742,29742,4.163
24147,7685920,5.873
9705163,4588,7.256
3201,7415745,5.097
7839804,2788,8.715
14308,5321468,8.69
9772812,9418989,5.008
9789138,41752,9.257
5317886,7331,5.588
17329,6946879,7.115
8648,5193,5.717
3585905,80675,6.509
40053,9844511,6.95
12998,5720,7.883
7716770,7415788,7.959
7970021,31100,5.34
4224701,9193391,7.872
1373650,5607094,5.885
9600876,6725953,4.816
5362822,3107558,8.817
9000020,7685912,10.173
4563409,7137,6.503
11622,5035449,7.648
21540,1167510,5.04
4375,6742,8.236
7697554,15717,7.636
8133,5089549,4.852
9631810,8788,7.937
157,13579,10.726
17835,18198,6.025
17855,8982,4.919
27050,20630,11.475
12735,22780,8.853
27537,27154,5.117
24910,17662,9.504
17811,7047096,6.191
9877045,132,8.619
6725953,9825096,4.654
681164,9812075,9.693
11495,9079254,4.727
1376616,9909893,5.634
7710020,29384,5.045
7897944,29521,6.745
9734880,9469486,7.094
27448,31941,9.127
21768,3657469,9.698
7117515,1373390,12.069
39228,7519672,6.435
681164,9835458,6.99
7860471,4618,8.271
7977336,7415761,5.09
7685890,29665,4.813
7970030,9111867,7.274
14249,17662,8.653
9844511,157023,5.978
16195,3568229,6.879
7860471,12272,4.489
9239685,17803,4.751
9346910,9867651,8.295
7710011,4600,7.221
8648,21089,4.843
SD,13684,2.857
3587266,7909322,4.163
705187,16233,8.036
7886284,8247,6.302
9686177,7994206,8.081
21774,6379915,4.658
19038,130389,8.871
7331,7994125,5.48
7381182,7690126,5.837
4600,6727468,5.575
22545,58394,4.889
5959,9825096,5.347
9812105,1370650,4.603
9527826,19127,8.11
20784,7909381,8.657
5404711,12998,9.695
9099,1528092,6.441
31762,9835440,9.282
7983883,21089,4.499
28525,31976,10.647
7530935,9527800,8.552
21540,17566,6.92
7543298,17361,7.421
705187,24430,6.26
20400,9474960,6.655
653080,31089,6.645
7525460,41279,8.583
7690126,9372946,5.974
1371665,9050868,4.163
9719300,4400,5.24
1394045,13579,6.903
6225985,9445340,6.518
9877045,19569,5.864
1790,7445202,4.932
3645940,6407889,5.658
169846,10090,4.407
9413243,9750550,4.743
18471,7543298,5.201
9789200,11495,4.841
11495,9099875,10.169
17566,21741,10.544
13514,44030,4.486
8133,7797036,4.54
9099,19712,8.955
638560,7415761,5.016
6929,1377302,9.132
20052,31941,5.102
6700,4224701,6.128
1528092,9866060,5.699
3638,7994206,5.765
152323,1379682,11.287
7185545,9215808,9.574
3093620,19542,9.167
143359,13170,9.92
27423,20265,9.523
16734,10339,4.616
16438,251,6.352
17803,7531362,7.759
10090,12272,4.644
56502,9719300,5.899
19569,9527800,11.181
9079254,7751524,6.059
21008,24570,7.965
5775655,9745980,4.404
5363,4394,5.318
14958,7185545,7.625
41143,25240,7.027
42035,9686177,9.784
7994206,19897,4.61
9772812,3645940,5.691
9794948,7389353,5.642
45685,3611,9.478
9734880,49913,9.366
29665,20087,6.517
6653618,7716770,6.734
61190,9303189,4.841
7464010,130389,8.044
24406,16925,4.973
24430,11790,6.288
15823,24562,6.514
17788,61190,5.732
9372946,9687564,8.992
9099,10146,4.621
22098,14427,8.163
27000,19127,6.887
9631810,4600,5.537
3107558,7415761,7.179
24430,1371266,7.881
9101543,7915624,6.115
61190,9296,4.479
7529279,638560,5.379
9687564,14370,7.522
1167510,16802,7.495
7338872,18589,9.443
5460,9705236,9.851
21547,16195,6.775
7909322,9748466,8.768
13514,24341,5.594
9216073,9443819,6.537
7983883,1358324,4.406
1,221,4.534
6122,4447190,5.149
3077,118818,9.791
16802,7686811,6.813
3093620,8250,4.322
14966,5243572,5.71
8250,5720,6.476
OS,31762,2.857
9670386,7415788,7.959
4519876,17811,6.07
7587,7994125,5.776
17835,15717,7.747
3657469,9215891,8.251
10339,12733,4.438
9193340,22471,4.813
9789138,4347390,11.638
83399,9427554,7.815
21768,12377,7.013
169846,7129,6.287
9527826,20630,7.379
7303718,221,4.275
1482505,9805192,7.835
5404711,9750541,5.364
9745980,1528092,6.074
15032,31941,6.701
17329,7466315,7.548
4251,560,7.988
9794948,3225143,4.434
107,6785,4.91
17027,3657469,10.376
24570,9921389,8.843
17264,5404711,7.684
9812105,15067,8.011
9734880,7471,6.843
132,7521871,4.897
6653618,9447342,6.8
75272,5317886,5.334
9692517,17736,7.263
5975,9719300,6.334
5607094,9703810,6.658
9909893,7983883,5.348
9048545,24570,7.663
60402,7519672,4.526
21540,4563409,5.05
4224701,8982,6.534
4555732,7464010,7.501
7007175,5317886,4.448
1371266,26115,6.804
1394045,9921389,9.918
30632,5362822,5.561
8907,7471,5.715
169846,12735,7.622
18961,9307303,7.776
3077,6103537,9.791
5053,6946879,4.994
17329,44030,10.111
7685920,27154,7.123
5775655,7007175,5.229
7439873,7697554,9.543
7974698,9469486,5.143
17855,1358324,4.864
9291474,9877045,8.333
5362822,5363,7.794
21540,9872426,12.109
9921389,9543414,4.6
57851,7690126,5.013
132,17426,7.74
24430,20370,8.27
9424598,96741,4.481
48097,9071407,8.521
9101543,59102,6.812
7304,11304,5.182
7353626,13323,10.695
4404,5362822,5.748
5607094,1360604,5.342
9366083,7415761,4.42
9074015,7529279,6.608
22689,12735,8.614
9053069,3638,8.767
9078673,355763,4.96
17329,9111654,4.649
3503526,4839,5.973
9349391,7297858,9.944
1376616,6700,5.739
16233,1141902,7.441
1376616,9193090,5.385
9296,1790,4.601
9469486,5775655,5.952
20265,16233,4.863
7525460,19453,7.609
9877045,10090,7.366
123838,3568229,8.309
9905855,188980,8.883
19534,23906,7.042
16734,15520,7.664
3190,1377302,6.195
1376152,7196,4.645
9193090,4347390,11.772
6941206,2776880,5.004
9844511,169846,5.88
9418989,9372946,5.762
34606,9106464,10.239
9750541,9272690,5.757
7886284,39713,5.681
8250,3195,6.138
5556937,24430,5.142
4519876,9743464,9.309
7129,5720,7.526
9789138,4251,8.301
9307303,9527826,6.953
6407889,6946879,4.689
1373390,3611,8.391
9641,24503,7.228
OD,3310,3.71
13514,19534,7.204
17361,681164,8.792
9835148,19658,8.539
6379915,12882,10.042
4394,9366083,5.028
9216073,251,6.658
9737308,17662,7.108
7659652,19720,5.003
9457224,7703317,7.728
653080,14969,8.531
30465,9908978,9.073
7347928,18467,7.612
6090206,11819,5.836
6610,15849,8.78
4447190,17094,7.866
9527800,21121,8.139
20095,19712,6.135
7117515,6800467,8.758
9418989,9517910,4.864
7716770,27472,10.516
9272690,3225143,6.606
5362822,9457224,6.38
9071407,118818,12.159
7886284,13420,9.54
6007,23906,5.205
13447,59102,7.188
6379915,5550,5.945
9193677,1482505,4.667
9564934,9143793,9.284
25116,4588,7.282
9514902,14370,8.284
7886284,10170,6.282
9758593,44912,8.601
184969,26115,10.295
169846,4403,4.818
9078673,21685,5.034
20400,14427,9.802
16357,24406,7.401
7886284,9079254,6.533
11819,1182323,6.111
6725953,446947,4.785
7445202,45507,5.81
9835440,9249834,7.641
9519319,20828,4.632
15563,9457224,8.472
1376616,169846,5.966
3675009,24910,5.926
7193670,7685920,11.191
28797,30155,6.567
7860471,15849,8.192
9155490,3225143,4.759
20346,7685890,6.59
7690126,8250,6.235
5320,9291474,5.947
7415788,9193090,6.892
9215670,15067,8.732
1528092,9366083,5.521
7381182,9872426,11.87
6033822,4805712,10.16
9413243,7347936,10.092
4809220,27050,6.991
17835,27050,7.127
3209,7703457,5.722
5556937,3151,5.482
14969,20370,7.977
4618,73075,7.296
7860471,7389353,5.799
7871171,9805192,8.745
7685890,14966,7.283
14966,16925,6.843
9111654,9215670,4.916
OD,22689,3.71
9372946,53,8.992
5607094,45599,5.455
25240,130389,7.033
17027,7970030,8.772
7525460,24503,7.074
9239685,1358316,5.181
79030,9789200,4.901
9517910,7218,4.749
9909893,6725953,4.319
20346,25429,11.724
9445340,15825,5.229
17811,73075,5.237
15520,21807,7.374
9514902,9575820,7.234
9564934,22474,10.382
6610,4251,8.075
14427,681164,6.235
9670386,9307303,7.119
28525,9321489,5.431
9877045,10239,9.163
30287,28967,6.714
9703810,9559973,6.667
81,43323,10.683
19897,56502,8.63
7768869,5053,5.636
25240,28797,11.424
7137,28688,6.963
446947,6725953,4.82
653080,1370650,6.688
6237,728535,7.843
18467,157,4.632
31941,24694,9.999
4815700,7634994,5.158
19534,16675,5.071
13447,18589,9.433
43323,9805192,6.086
8788,9909893,4.332
28320,7909306,5.139
7117515,7304,5.03
22474,9474960,10.009
9215670,9216154,6.306
6122,7193670,7.597
6670,83399,7.893
OD,1488112,3.71
9296,7839804,4.666
9564853,19038,8.019
5556937,20784,10.13
11746,6742,5.267
21121,9641,5.954
9737308,19950,9.338
8788,9789138,4.443
132,4224701,5.763
9347186,16802,5.098
1379682,9908978,11.402
4403,9296,4.858
9193677,7271247,6.643
1360604,20265,6.69
7415788,60402,6.703
22545,7338872,4.808
3107558,7416717,6.848
17361,7530935,9.505
21547,14354,9.667
18988,19100,4.665
6208169,7779771,10.246
45483,1375717,9.478
10242,7994206,8.97
9598,7304,4.744
4588,9239685,7.217
4588,2763,7.401
11622,18287,8.943
7117515,355763,5.619
41279,9564810,6.659
80675,3077,8.6
9147128,7689993,4.486
18589,17361,7.443
9317627,9705236,7.254
8133,9692517,4.809
20397,20397,4.163
9836209,9101543,6.638
17259,8648,4.375
4618,9101446,7.707
2224,2338530,9.753
34606,20346,9.146
11746,446947,4.519
1488120,39725,5.539
7415761,2781484,7.181
9835440,7271247,8.069
8990,7994320,10.281
7634994,9743464,9.127
7415702,7703457,5.131
16411,19542,5.283
10170,6653618,7.257
44030,21121,5.751
9719300,9745980,4.326
7878826,7983883,4.946
7007175,48097,6.804
9469486,6800467,8.377
21547,41279,8.614
4535162,12733,5.049
23248,3675009,7.534
9699864,7871171,8.267
23442,25119,7.43
6225985,6225985,4.163
11622,9007822,9.896
7522452,9750541,4.33
9193553,9805192,10.973
17736,27000,9.917
9789138,18476,4.679
1141902,18910,7.355
44030,9926062,4.4
10242,45483,5.977
21540,9841083,5.258
9053069,5775655,5.67
30546,20799,5.997
29384,9111654,8.116
157023,3645940,4.973
7925662,9291474,5.289
9564810,1378724,8.796
6007,25119,6.725
17861,9111654,7.198
16233,1379682,9.369
7685920,27448,6.82
7925662,1394045,9.168
9193448,14397,7.704
8250,21764,5.334
7415745,7994206,10.6
8254,9564934,4.774
7855494,1182323,5.579
5035449,96741,11.055
2205,1358324,8.541
5460,107,6.073
39228,7915624,7.076
2909,1600,9.481
3503526,2658,9.838
9833510,6157,5.127
75272,1528092,6.236
17426,14834,10.025
59102,1375717,10.302
7686790,3638,10.345
25348,9000020,11.509
16734,3645940,5.125
3877256,2364,11.725
1482505,25240,6.998
7948115,7679050,8.785
3189317,9193090,4.958
SD,16411,2.857
3877256,5975,6.394
7855362,17736,7.366
24147,1370650,5.295
28991,7897936,7.087
9146946,13514,8.801
1360604,21768,4.221
3529592,22606,7.682
6007,1482505,4.715
7587,7042108,5.596
2232,2658,6.868
7531362,4809220,8.35
5711819,2776880,5.004
9687564,9900411,9.98
7007175,61190,5.027
7915624,4394,5.221
9186212,14427,7.066
19897,9398937,7.787
9073973,132,5.268
22225,49913,7.622
7543298,2860,10.086
7525460,27154,8.07
3093530,9187669,5.244
7389353,3611,9.67
8788,7415702,4.913
26115,188980,10.779
39228,9926062,10.551
8648,17884,7.034
9053069,6033822,5.929
7471,9469486,5.792
5035449,9322531,7.539
30090,45558,6.642
14427,7185545,8.739
20400,7914512,10.02
9514902,7530935,4.656
16608,19534,5.193
14308,31089,6.589
1167510,28688,5.684
11622,20095,10.504
23248,14688,4.997
9703810,15032,6.908
19534,728535,5.091
7353626,7710011,5.054
7165536,1374680,9.37
45523,7710011,5.257
9249834,9575820,4.163
1376152,19897,9.986
9833510,4815700,5.69
22098,7969961,4.382
9022228,7415761,5.21
5053,17264,7.15
15563,9921389,8.214
2205,2364,6.426
17264,7768869,5.881
7686790,3877256,4.163
25116,9099,5.036
7347936,26194,10.288
8254,1150294,8.275
23248,5124417,7.732
7466315,9734880,6.069
24503,16195,8.041
5317886,1375717,9.301
83399,7389353,6.849
9447342,24406,7.45
17329,20370,7.749
7193670,4839,8.627
4403,3107558,7.968
15067,41752,9.93
6610,18471,5.002
25402,9565000,9.887
15563,22689,7.87
12998,9835458,6.217
9490493,16195,6.539
9329781,9111654,7.449
7007175,1167510,4.776
6785,9686177,9.659
57851,5053,5.614
8254,251,4.33
16195,9772677,7.185
17884,143359,7.004
9519319,18910,7.053
9748466,27537,10.679
28320,27340,11.017
9078673,7543298,5.284
29858,28320,6.33
17329,9207775,7.307
1167510,3719,8.774
9216073,49913,4.84
75272,5550,5.965
19453,31100,8.322
251,7525460,4.559
6700,9469486,5.474
16233,6873332,6.954
9514902,9926062,4.632
9743464,7389353,8.759
6122,7977336,4.468
40053,20265,5.492
1376152,2860,10.479
21547,9527800,8.07
1376616,7686811,6.322
9671820,20087,6.517
9900411,152323,10.955
12735,9207775,7.781
7710020,7974698,6.061
OS,9719300,2.857
21807,7977336,4.785
6725953,15415,7.031
24562,9900411,8.811
14249,9564810,8.403
8443,17264,6.076
45523,7471,6.283
73075,18467,4.594
7271247,14354,8.934
9835458,9193090,8.175
14249,3743,11.523
9794948,9427554,4.547
12735,7703317,4.291
1367072,9427554,6.875
8672,728535,8.869
13927,7685890,9.502
7860471,31941,10.138
6670,17855,5.742
16411,9317627,6.726
446947,7510,5.765
9719300,11622,5.054
9215891,17884,7.747
9835148,8250,5.082
20117,29665,6.507
15067,25593,12.045
5124417,9215670,6.449
7353626,7196,5.016
4555732,14443,8.163
31976,7855508,7.329
90565,18215,8.112
9699864,1389742,10.619
11622,5460,6.368
29742,9322450,6.889
16734,4105885,5.447
9303189,9750541,5.08
9671820,7271247,7.356
7768869,4519876,5.74
25593,9022,8.928
9193448,728535,6.04
9745980,7042108,5.275
16734,3638,10.194
13447,9346910,7.213
7254830,27162,11.199
9322531,5193,5.623
446947,3093530,5.336
OD,4394,3.71
45507,5550,5.319
7258321,21768,7.227
10239,9564861,4.659
3093530,1358324,4.541
7909390,24805,10.804
5404711,57851,6.389
20784,9565000,9.2
SD,7117515,2.857
1790,4224701,6.213
17811,9600876,4.841
9909893,27488,4.519
14397,9763449,7.521
9296,13447,8.973
5607094,9867651,5.238
15717,3568229,10.182
45558,9708685,4.249
9776370,9146946,8.815
18476,3719,8.964
3225143,9457224,5.14
6873332,8254,4.313
9193464,27162,9.06
157023,9835148,4.595
57851,18471,6.93
8247,40053,8.65
9143793,26115,6.167
30286,7165536,7.798
15822,9187669,8.343
130389,9687564,7.669
7948115,9825096,5.211
1528092,9074015,6.856
3107558,9272690,5.66
12735,29384,8.638
9146962,9424598,7.213
53,14688,7.441
7751524,4563409,5.837
21121,18961,8.892
17861,9469486,6.035
17329,22616,9.814
12272,8672,5.071
12831,7416717,7.957
26247,1373226,10.026
7439873,27050,6.68
9053069,7389353,5.544
9349391,6103588,6.428
7685912,16640,7.29
9445340,26247,8.666
9457224,58394,6.151
22545,7710020,4.869
17094,18287,5.933
24503,14451,10.826
5193,9053069,5.075
9543414,7685912,6.83
4236580,3189317,4.733
7909381,27057,11.571
41279,20400,7.951
9748466,55492,7.6
22098,9527826,6.868
6785,7007175,4.935
7047096,48097,7.493
OS,8672,2.857
9193340,7994150,4.47
728535,17426,6.205
22689,7338872,5.861
OS,1371665,2.857
7977336,6610,4.675
21764,3503526,4.948
25533,9598,4.526
1373226,26247,10.026
21741,9186212,6.658
9078673,15520,7.448
17855,7994320,9.806
9909893,9078673,5.034
1367072,5775655,6.639
20397,9143793,11.688
24570,9564810,7.338
24562,27006,5.712
40053,14931,7.131
24570,6907733,10.43
9474960,9835440,8.692
4236580,7389353,4.83
7042108,4519876,5.533
9193464,24562,11.392
7697554,9193391,8.665
24562,24805,10.729
9812075,7685890,4.876
7897944,7909381,6.241
6727468,2534,7.977
7974698,30962,10.571
4535162,9743464,9.016
7531362,9303235,7.386
638560,2186,10.986
15717,9734880,7.399
8648,39228,6.554
9022228,1376616,6.376
80675,2776880,6.416
1360604,45599,4.411
7042108,7529279,5.533
7389353,22689,4.616
7686790,12733,4.71
29665,27340,7.699
12377,23442,7.135
4236580,7710020,4.669
5321468,9812105,10.443
16734,9079254,4.473
5364213,12831,10.108
17811,446947,4.609
17876,21774,6.159
7751524,1367072,5.576
9638857,20346,6.526
18467,2781484,7.157
5460,9763449,9.773
7897944,9322450,6.889
9367136,8788,4.89
14427,14354,5.585
9835148,4839,6.604
9099,7839804,5.097
7970030,653080,6.23
9249834,6653618,6.8
OS,5320,2.857
9772677,53,7.502
19720,39228,7.21
22545,21540,5.578
39228,17811,5.707
29890,7909306,5.644
9833510,2788,8.182
OD,4347390,3.71
17861,7768869,4.466
30287,1379682,10.888
20630,9543414,7.854
OD,9294546,3.71
12272,9185470,5.416
7994125,4400,4.894
9835440,5124417,7.641
7530935,1374656,5.93
7129,7471,4.784
4347390,3719,7.879
9424598,18880,6.961
24805,31976,6.951
9193448,25348,5.368
18961,31762,8.77
9418989,7415702,4.682
9772677,9474960,4.555
19542,24406,7.564
9053069,7751524,4.606
13514,20370,6.185
7529279,6727468,6.024
7685912,30286,4.627
9000020,9737308,6.692
25119,3529592,4.635
22616,1373900,4.288
1360604,18215,8.529
9687564,16233,4.499
18471,7635010,5.295
11495,9322531,4.79
7543298,157,4.163
9050868,22487,4.163
9835148,18689,5.225
7915624,7510,4.848
5550,9303189,4.843
20346,13514,6.426
6157,7925662,4.468
21540,7347936,9.684
4519876,4105885,4.783
7117515,13447,8.257
61190,5320,5.899
9841083,7710011,5.168
9833510,7117515,5.694
6007,24406,5.41
80675,13323,9.617
14354,24058,9.624
188980,16925,9.688
7338872,49913,8.804
9905855,30139,7.457
9249834,9225749,5.22
7751524,157023,6.023
4839,2909,10.194
41279,130389,8.689
9812105,1373900,5.237
14451,7185545,8.739
45599,31976,6.952
3587266,9046313,5.218
19950,27006,8.301
9193677,25593,9.872
9734880,2781484,8.722
20784,7165536,9.477
45558,30023,6.621
9569766,7338872,4.515
9825096,6653618,7.729
7347928,7703457,7.52
9469486,4563409,5.837
20370,17027,6.536
7635010,7232403,10.171
3645940,9022228,5.127
14451,9317627,8.304
45599,16411,6.762
19658,4815700,9.138
7334354,6103634,11.457
41143,1373900,4.44
653080,9812075,7.116
18215,41143,8.601
5975,73075,6.58
7977336,6237,5.235
681164,6670,8.29
7686811,9413243,5.7
OD,9772677,3.71
9099,9322531,5.161
12735,6742,7.946
2591332,25593,5.855
2788,11746,7.488
1358324,21764,5.034
21774,9705163,4.692
7165536,20630,8.281
7304,6670,4.782
16734,21089,5.094
20346,188980,11.501
7531362,17736,7.16
560,2275,12.0
7751524,9291474,5.727
5035449,24058,10.506
7300816,9079254,4.74
9474960,14427,8.29
8443,27050,6.571
7679050,14427,7.948
18988,45599,8.106
5124417,3741192,7.298
6237,45507,6.604
31941,22780,5.856
3195,7839804,5.326
7415761,45523,5.347
169846,8247,4.526
9789200,6946879,4.432
6759009,24058,5.006
19534,25348,5.929
9322531,6725953,4.369
27000,9474960,5.415
4359,83399,6.288
5711819,7137,6.023
8982,60402,4.943
31976,31762,6.22
2658,2232,6.869
59102,11495,6.404
9187669,1182323,5.886
5711819,4618,7.256
9457224,41752,9.67
5404711,21774,5.712
1528092,6090206,5.378
130389,24570,9.25
9099,157023,4.684
7297858,5243572,8.662
83399,7710020,7.537
45556,1369385,10.469
6742,3503526,4.776
9291474,27423,5.452
1790,4809220,4.655
21764,3645940,5.436
27423,22689,5.561
9687564,21768,7.233
9216073,15520,8.435
19690,19658,5.831
16640,1373900,7.742
9372946,11495,6.272
3671461,9022228,4.833
6379915,48097,7.375
7439873,7686790,4.925
7530935,15823,5.199
29384,13447,8.836
27537,9424598,8.012
4251,1376616,8.34
18471,17259,5.011
7871171,15825,6.141
15032,19658,7.874
20087,1373650,6.648
11746,4839,6.726
6941206,10242,5.062
19534,19690,4.847
1369385,30286,6.403
23248,22474,9.357
10170,7196,5.252
30236,188980,9.685
20346,18215,8.136
7969961,7970021,4.163
10090,9303235,4.419
9866060,7007175,4.618
17361,5124417,7.483
21547,9514902,4.358
7779771,9474960,8.131
17027,6653618,7.347
21547,14958,7.148
9743464,12998,8.021
8254,49913,7.499
27050,446947,6.437
14958,9543414,6.801
9291474,7347936,9.698
9564934,14834,7.913
7860471,7300816,5.157
17884,15563,8.285
27050,7974698,8.414
4400,7915624,4.331
19615,1370626,8.179
24805,20795,11.192
5975,4600,8.542
30632,17861,4.477
25593,1360604,9.412
7974698,11819,7.263
59102,27488,6.329
9708685,30287,6.556
9872426,12882,9.29
9564853,31941,5.961
7196,9734880,5.836
7416717,2201,10.364
169846,2860,10.687
28688,6941206,5.639
107,3093530,5.535
16438,9564934,7.067
12377,15823,6.482
9022228,9296,4.858
22225,9670386,7.319
7304,2275,12.115
9101446,5193,5.921
11819,21540,5.923
15415,17566,5.355
25119,9748466,10.924
23442,96741,4.324
7855362,9073973,5.721
41752,15717,7.636
4236580,17264,6.296
7196,11746,5.305
3271,2399,6.959
10239,7855508,4.487
1373218,1373242,5.587
22689,9155490,5.048
7225822,17417,5.317
19950,1374680,7.701
59102,14397,9.772
6727468,7697554,8.662
40053,1482505,7.942
9844511,7685890,10.845
96741,24694,8.861
1358316,27050,6.934
15717,20828,10.211
7464010,6007,7.962
7587,7751524,6.27
27488,1528092,5.467
9347186,7685920,9.92
27050,9909893,6.715
22474,15825,7.988
9469486,4403,6.034
31941,17094,7.175
681164,15032,6.261
9877045,14206,9.933
9215891,9146946,11.241
9866060,8982,4.793
40053,21741,7.988
9321489,9322450,8.326
560,6946879,4.804
19712,6873332,7.337
9443819,96741,4.761
30632,1358316,5.66
7969961,9564853,4.598
14688,4555732,4.548
27472,3741192,7.675
16734,13579,11.301
16608,9111654,7.655
19100,5243572,8.368
9671820,9564810,4.876
17027,11495,7.929
7193670,7521871,7.933
7685920,5124417,8.208
5362822,30632,5.568
7007175,4535162,5.027
11304,7886284,5.885
6090206,2909,11.732
9207775,9215670,7.774
7779771,27057,5.706
1370626,19542,8.467
7685890,1150294,7.836
8672,9705163,4.605
6407889,25116,4.689
26115,6007,7.917
16195,14443,7.219
9825096,8648,4.538
9670386,17884,7.563
13684,19720,8.692
9789138,9877045,8.191
560,17264,7.155
