,name,lat,lon,customers,demand
12,cust12,36.54495119,140.35576033,"[59, 132, 145, 155, 189, 196, 232, 242, 247, 289, 453, 559, 612, 632, 689, 725, 738, 754, 795, 869, 885, 886, 920, 939]",4299572.6510989005
13,cust13,32.21527634,130.76624301,"[13, 206, 275, 482, 524, 613, 705, 810, 948]",456862.67857142864
14,cust14,38.0675441,139.7409317,"[15, 21, 66, 142, 170, 175, 226, 296, 315, 370, 391, 421, 472, 602, 716, 731, 760, 785, 833, 895, 926, 933, 971, 997]",7820135.027472527
15,cust15,34.83256519,134.67655631,"[38, 89, 110, 121, 199, 202, 235, 274, 282, 362, 368, 386, 478, 504, 517, 542, 553, 587, 616, 747, 772, 831, 864, 867, 887, 901]",15644501.64835165
16,cust16,35.23439606,136.91472411,"[1, 35, 72, 76, 86, 96, 101, 115, 119, 135, 184, 197, 224, 251, 258, 313, 333, 338, 350, 369, 371, 372, 407, 414, 419, 444, 466, 476, 483, 489, 496, 518, 523, 546, 547, 548, 551, 557, 633, 666, 674, 679, 701, 730, 737, 757, 783, 789, 794, 836, 840, 850, 861, 897, 922, 923, 932, 943, 949, 950, 961, 962, 966, 985, 987]",47765363.00824176
17,cust17,31.60587974,130.56582524,"[10, 308, 519, 600, 690, 818, 874]",4292644.670329671
18,cust18,37.13483988,138.75976179,"[28, 39, 183, 508, 514, 746, 944]",6583837.912087913
19,cust19,41.48145474,140.25406094,"[326, 465, 569, 619, 863, 960]",1787518.3104395606
20,cust20,33.55261097,133.53097564,"[176, 220, 222, 304, 321, 423, 507, 629, 634, 722, 866, 989]",21917580.16483517
21,cust21,36.40163065,138.25614617,"[43, 248, 339, 411, 418, 512, 594, 635, 668, 726, 733, 786, 800, 957]",3795329.162087912
22,cust22,40.59784709,140.59795614,"[24, 42, 88, 97, 146, 150, 160, 192, 234, 244, 256, 265, 284, 303, 325, 354, 389, 458, 545, 562, 572, 615, 627, 707, 896, 904, 916, 990]",13742349.27197802
23,cust23,34.56540992,132.18175423,"[47, 130, 216, 322, 332, 340, 416, 450, 560, 610, 618, 646, 647, 700, 768, 835]",6988900.673076923
24,cust24,36.71354905,137.28955274,"[33, 77, 100, 126, 133, 156, 157, 164, 172, 181, 213, 227, 310, 318, 328, 334, 336, 345, 454, 490, 521, 555, 558, 570, 588, 601, 664, 673, 688, 727, 739, 748, 798, 808, 816, 821, 830, 881, 913, 995, 996]",22611353.914835162
25,cust25,34.18892274,134.1205368,"[5, 174, 245, 327, 349, 425, 440, 456, 473, 540, 611, 736, 801, 804, 993]",9242016.593406592
26,cust26,36.56812582,139.96093644,"[4, 11, 18, 169, 212, 223, 246, 250, 290, 384, 429, 525, 531, 720, 769, 770, 819, 832, 958, 999]",5872170.13736264
27,cust27,34.69102748,135.37460505,"[0, 8, 14, 32, 36, 54, 91, 92, 129, 134, 137, 143, 149, 162, 171, 185, 205, 215, 237, 240, 288, 292, 320, 374, 375, 376, 404, 426, 432, 436, 438, 441, 457, 470, 474, 503, 532, 537, 539, 564, 568, 595, 609, 620, 622, 623, 631, 641, 654, 660, 662, 683, 691, 695, 750, 751, 758, 777, 802, 806, 823, 841, 853, 858, 859, 872, 878, 880, 888, 905, 917, 942, 967, 986]",84824650.30219784
28,cust28,44.01611569,144.26563518,"[190, 329, 363, 494, 516, 582, 651]",1834015.7005494507
29,cust29,33.34768604,130.57322732,"[30, 93, 106, 186, 207, 337, 380, 402, 442, 445, 451, 485, 487, 491, 500, 597, 667, 714, 824, 862, 970]",5183059.162087912
30,cust30,33.95471708,130.96564302,"[111, 122, 131, 280, 293, 335, 403, 417, 427, 538, 606, 642, 648, 652, 696, 728, 743, 761, 815, 883, 909, 968]",37764158.44780219
31,cust31,26.32377044,127.79598401,"[52, 63, 239, 459, 661]",660594.8489010988
32,cust32,45.13911688,141.68676247,"[180, 484, 590, 825]",1317835.5082417578
33,cust33,33.66607956,134.42408416,"[12, 50, 826]",295848.54395604396
34,cust34,35.51453661,137.82800623,"[161, 302, 373, 563, 639, 882, 910, 981]",504740.85164835164
35,cust35,44.4669341,143.12683325,"[103, 154, 285, 324, 449, 742]",29571304.27197802
36,cust36,33.22072023,133.07695561,"[74, 395, 455, 694, 764, 925, 983]",1892971.2225274723
37,cust37,37.43679492,137.24430307,"[7, 51, 70, 79, 87, 90, 173, 231, 331]",2696308.145604395
38,cust38,42.47100714,140.86521588,"[378, 385, 552, 621, 626, 765, 890]",710967.8571428572
39,cust39,31.55473019,131.3751536,"[107, 219, 699]",1177216.2500000002
40,cust40,35.45659578,133.05115232,"[82, 136, 262, 279, 379, 431, 554, 561, 650, 752, 799]",4331879.162087912
41,cust41,37.5737948,140.42996989,"[31, 44, 140, 167, 271, 295, 319, 397, 567, 585, 669, 677, 776, 845, 870, 877, 938, 952, 956]",8408997.348901099
42,cust42,35.05237602,138.48636845,"[45, 67, 123, 191, 236, 255, 301, 359, 437, 447, 653, 671, 734, 763, 813, 838, 857, 879]",4154583.4203296704
43,cust43,36.39422461,138.98515657,"[26, 65, 163, 269, 357, 430, 448, 486, 522, 527, 530, 687, 711, 809, 921, 931]",25257800.453296706
44,cust44,43.0767253,141.34974942,"[23, 147, 193, 203, 253, 300, 311, 388, 412, 435, 461, 506, 528, 583, 607, 640, 645, 723, 773, 851, 860, 900, 976, 991]",26495798.22802198
45,cust45,33.94094496,132.78957625,"[168, 198, 298, 306, 341, 392, 401, 698, 759, 847, 854, 941]",4548772.390109891
46,cust46,32.77663902,129.85582982,"[104, 277, 382, 592, 834]",3002891.0989010986
47,cust47,38.26425809,140.80764233,"[2, 29, 34, 60, 125, 177, 228, 230, 257, 309, 330, 356, 377, 381, 617, 790, 856, 892]",3542831.387362637
48,cust48,33.72985149,135.90380589,"[477, 702, 965, 988]",2459946.5796703296
49,cust49,43.11375915,145.06065526,"[398, 628, 655, 778]",5309388.269230768
