Name,Assign,Blocked by,Blocking,日付,Property,Property 1,Status
Act[5_1],Mode[51], , ,2024年01月02日 03:46 → 2024年01月02日 11:16,duedate: inf  weight:1,"execute: {(1666, 2117): 1}",Not started
Act[5_2],Mode[52], , ,2024年01月02日 16:26 → 2024年01月03日 06:44,duedate: inf  weight:1,"execute: {(2426, 3285): 1}",Not started
Act[5_3],Mode[53], , ,2024年01月03日 06:45 → 2024年01月03日 15:21,duedate: inf  weight:1,"execute: {(3285, 3802): 1}",Not started
Act[5_4],Mode[54], , ,2024年01月03日 15:22 → 2024年01月04日 03:21,duedate: inf  weight:1,"execute: {(3802, 4522): 1}",Not started
Act[5_5],Mode[55], , ,2024年01月04日 03:22 → 2024年01月04日 13:50,duedate: inf  weight:1,"execute: {(4522, 5151): 1}",Not started
Act[5_6],Mode[56], , ,2024年01月05日 02:39 → 2024年01月05日 18:21,duedate: inf  weight:1,"execute: {(5919, 6862): 1}",Not started
Act[5_7],Mode[57], , ,2024年01月05日 18:22 → 2024年01月06日 02:39,duedate: inf  weight:1,"execute: {(6862, 7360): 1}",Not started
Act[5_8],Mode[58], , ,2024年01月06日 02:40 → 2024年01月06日 03:55,duedate: inf  weight:1,"execute: {(7360, 7436): 1}",Not started
Act[5_9],Mode[59], , ,2024年01月06日 03:56 → 2024年01月06日 16:58,duedate: inf  weight:1,"execute: {(7436, 8219): 1}",Not started
Act[6_0],Mode[60], , ,2024年01月01日 00:00 → 2024年01月01日 03:15,duedate: inf  weight:1,"execute: {(0, 196): 1}",Not started
Act[6_1],Mode[61], , ,2024年01月01日 11:34 → 2024年01月01日 14:35,duedate: inf  weight:1,"execute: {(694, 876): 1}",Not started
Act[6_2],Mode[62], , ,2024年01月01日 14:36 → 2024年01月01日 15:05,duedate: inf  weight:1,"execute: {(876, 906): 1}",Not started
Act[6_3],Mode[63], , ,2024年01月03日 05:44 → 2024年01月03日 15:19,duedate: inf  weight:1,"execute: {(3224, 3800): 1}",Not started
Act[6_4],Mode[64], , ,2024年01月03日 20:00 → 2024年01月04日 10:53,duedate: inf  weight:1,"execute: {(4080, 4974): 1}",Not started
Act[6_5],Mode[65], , ,2024年01月04日 10:54 → 2024年01月04日 15:43,duedate: inf  weight:1,"execute: {(4974, 5264): 1}",Not started
Act[6_6],Mode[66], , ,2024年01月04日 20:16 → 2024年01月05日 02:38,duedate: inf  weight:1,"execute: {(5536, 5919): 1}",Not started
Act[6_7],Mode[67], , ,2024年01月05日 02:39 → 2024年01月05日 17:54,duedate: inf  weight:1,"execute: {(5919, 6835): 1}",Not started
Act[6_8],Mode[68], , ,2024年01月05日 17:55 → 2024年01月06日 02:31,duedate: inf  weight:1,"execute: {(6835, 7352): 1}",Not started
Act[6_9],Mode[69], , ,2024年01月06日 02:32 → 2024年01月06日 16:48,duedate: inf  weight:1,"execute: {(7352, 8209): 1}",Not started
Act[7_0],Mode[70], , ,2024年01月01日 00:00 → 2024年01月01日 01:23,duedate: inf  weight:1,"execute: {(0, 84): 1}",Not started
Act[7_1],Mode[71], , ,2024年01月01日 01:24 → 2024年01月01日 13:13,duedate: inf  weight:1,"execute: {(84, 794): 1}",Not started
Act[7_2],Mode[72], , ,2024年01月01日 13:14 → 2024年01月01日 23:24,duedate: inf  weight:1,"execute: {(794, 1405): 1}",Not started
Act[7_3],Mode[73], , ,2024年01月02日 07:38 → 2024年01月02日 18:42,duedate: inf  weight:1,"execute: {(1898, 2563): 1}",Not started
Act[7_4],Mode[74], , ,2024年01月02日 18:43 → 2024年01月02日 21:03,duedate: inf  weight:1,"execute: {(2563, 2704): 1}",Not started
Act[7_5],Mode[75], , ,2024年01月02日 21:04 → 2024年01月02日 23:36,duedate: inf  weight:1,"execute: {(2704, 2857): 1}",Not started
Act[7_6],Mode[76], , ,2024年01月02日 23:37 → 2024年01月03日 15:48,duedate: inf  weight:1,"execute: {(2857, 3829): 1}",Not started
Act[7_7],Mode[77], , ,2024年01月03日 19:37 → 2024年01月04日 05:37,duedate: inf  weight:1,"execute: {(4057, 4658): 1}",Not started
Act[7_8],Mode[78], , ,2024年01月04日 13:51 → 2024年01月04日 21:23,duedate: inf  weight:1,"execute: {(5151, 5604): 1}",Not started
Act[7_9],Mode[79], , ,2024年01月06日 02:40 → 2024年01月06日 14:11,duedate: inf  weight:1,"execute: {(7360, 8052): 1}",Not started
Act[8_0],Mode[80], , ,2024年01月01日 00:00 → 2024年01月01日 11:21,duedate: inf  weight:1,"execute: {(0, 682): 1}",Not started
Act[8_1],Mode[81], , ,2024年01月01日 11:22 → 2024年01月01日 23:01,duedate: inf  weight:1,"execute: {(682, 1382): 1}",Not started
Act[8_2],Mode[82], , ,2024年01月02日 02:22 → 2024年01月02日 14:44,duedate: inf  weight:1,"execute: {(1582, 2325): 1}",Not started
Act[8_3],Mode[83], , ,2024年01月03日 03:18 → 2024年01月03日 03:44,duedate: inf  weight:1,"execute: {(3078, 3105): 1}",Not started
Act[8_4],Mode[84], , ,2024年01月03日 15:49 → 2024年01月03日 16:32,duedate: inf  weight:1,"execute: {(3829, 3873): 1}",Not started
Act[8_5],Mode[85], , ,2024年01月03日 18:13 → 2024年01月04日 03:36,duedate: inf  weight:1,"execute: {(3973, 4537): 1}",Not started
Act[8_6],Mode[86], , ,2024年01月04日 19:19 → 2024年01月05日 08:55,duedate: inf  weight:1,"execute: {(5479, 6296): 1}",Not started
Act[8_7],Mode[87], , ,2024年01月05日 15:44 → 2024年01月05日 20:57,duedate: inf  weight:1,"execute: {(6704, 7018): 1}",Not started
Act[8_8],Mode[88], , ,2024年01月05日 20:58 → 2024年01月06日 09:08,duedate: inf  weight:1,"execute: {(7018, 7749): 1}",Not started
Act[8_9],Mode[89], , ,2024年01月06日 09:09 → 2024年01月06日 15:42,duedate: inf  weight:1,"execute: {(7749, 8143): 1}",Not started
Act[9_0],Mode[90], , ,2024年01月01日 11:22 → 2024年01月01日 18:41,duedate: inf  weight:1,"execute: {(682, 1122): 1}",Not started
Act[9_1],Mode[91], , ,2024年01月01日 20:09 → 2024年01月02日 09:41,duedate: inf  weight:1,"execute: {(1209, 2022): 1}",Not started
Act[9_2],Mode[92], , ,2024年01月02日 15:26 → 2024年01月02日 19:02,duedate: inf  weight:1,"execute: {(2366, 2583): 1}",Not started
Act[9_3],Mode[93], , ,2024年01月02日 19:04 → 2024年01月03日 00:57,duedate: inf  weight:1,"execute: {(2584, 2938): 1}",Not started
Act[9_4],Mode[94], , ,2024年01月03日 06:46 → 2024年01月03日 21:41,duedate: inf  weight:1,"execute: {(3286, 4182): 1}",Not started
Act[9_5],Mode[95], , ,2024年01月03日 21:42 → 2024年01月04日 02:47,duedate: inf  weight:1,"execute: {(4182, 4488): 1}",Not started
Act[9_6],Mode[96], , ,2024年01月04日 10:54 → 2024年01月04日 13:15,duedate: inf  weight:1,"execute: {(4974, 5116): 1}",Not started
Act[9_7],Mode[97], , ,2024年01月05日 05:59 → 2024年01月05日 17:05,duedate: inf  weight:1,"execute: {(6119, 6786): 1}",Not started
Act[9_8],Mode[98], , ,2024年01月05日 17:06 → 2024年01月06日 04:54,duedate: inf  weight:1,"execute: {(6786, 7495): 1}",Not started
Act[9_9],Mode[99], , ,2024年01月06日 09:09 → 2024年01月06日 16:52,duedate: inf  weight:1,"execute: {(7749, 8213): 1}",Not started
