,demand_0,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,setup_0,setup_1,setup_2,setup_3,setup_4,setup_5,setup_6,setup_7,setup_8,setup_9
81,7.0,2.0,7.0,3.0,8.0,8.0,1.0,6.0,5.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
82,2.0,2.0,5.0,1.0,8.0,7.0,9.0,8.0,7.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
83,3.0,7.0,5.0,1.0,6.0,9.0,7.0,5.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
84,1.0,1.0,6.0,1.0,9.0,7.0,6.0,6.0,4.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
85,2.0,9.0,4.0,8.0,9.0,6.0,2.0,5.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
86,5.0,5.0,1.0,1.0,7.0,9.0,5.0,9.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
87,8.0,7.0,3.0,7.0,5.0,3.0,5.0,8.0,6.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
88,2.0,4.0,4.0,2.0,6.0,6.0,3.0,5.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
89,6.0,4.0,2.0,8.0,7.0,6.0,7.0,3.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
90,3.0,5.0,8.0,6.0,3.0,2.0,7.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
91,6.0,9.0,9.0,6.0,6.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
92,6.0,8.0,9.0,3.0,9.0,2.0,7.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
93,6.0,9.0,5.0,6.0,1.0,4.0,8.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
94,1.0,3.0,3.0,3.0,8.0,9.0,2.0,1.0,8.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
95,9.0,1.0,3.0,6.0,5.0,5.0,2.0,4.0,6.0,9.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
96,5.0,3.0,9.0,4.0,7.0,3.0,9.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
97,8.0,2.0,7.0,2.0,7.0,9.0,1.0,9.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
98,1.0,9.0,3.0,6.0,9.0,9.0,5.0,4.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
99,6.0,1.0,9.0,5.0,3.0,3.0,3.0,8.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
100,5.0,1.0,7.0,5.0,8.0,9.0,5.0,8.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
101,4.0,2.0,3.0,7.0,5.0,3.0,9.0,9.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
102,8.0,4.0,1.0,9.0,8.0,9.0,7.0,8.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
103,5.0,3.0,8.0,6.0,4.0,2.0,6.0,2.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
104,3.0,3.0,5.0,5.0,5.0,7.0,6.0,7.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,3.0,5.0,6.0,4.0,5.0,8.0,2.0,2.0,8.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
106,9.0,1.0,3.0,6.0,9.0,8.0,8.0,2.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
107,9.0,9.0,5.0,1.0,2.0,5.0,2.0,4.0,8.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
108,5.0,9.0,7.0,6.0,8.0,5.0,9.0,9.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
109,6.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
110,1.0,2.0,3.0,8.0,3.0,9.0,4.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
111,6.0,6.0,3.0,5.0,1.0,1.0,4.0,7.0,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
112,8.0,3.0,2.0,6.0,4.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
113,4.0,4.0,7.0,1.0,9.0,1.0,9.0,1.0,4.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
114,2.0,6.0,7.0,1.0,4.0,7.0,1.0,6.0,7.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
115,8.0,2.0,4.0,2.0,2.0,7.0,2.0,3.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
116,7.0,3.0,2.0,5.0,7.0,2.0,4.0,8.0,4.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
117,8.0,2.0,8.0,1.0,4.0,6.0,2.0,8.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
118,7.0,8.0,3.0,4.0,4.0,2.0,6.0,1.0,7.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
119,8.0,4.0,7.0,1.0,3.0,2.0,5.0,5.0,3.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
120,5.0,6.0,3.0,2.0,7.0,3.0,9.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
121,5.0,5.0,5.0,2.0,2.0,5.0,7.0,2.0,7.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
122,3.0,5.0,3.0,9.0,5.0,8.0,4.0,1.0,4.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
123,8.0,2.0,4.0,5.0,7.0,1.0,3.0,7.0,4.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
124,7.0,1.0,9.0,2.0,4.0,7.0,5.0,6.0,2.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
125,6.0,7.0,3.0,5.0,7.0,9.0,2.0,8.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
126,1.0,1.0,4.0,5.0,5.0,3.0,2.0,9.0,3.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
127,5.0,5.0,7.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
128,3.0,7.0,2.0,9.0,1.0,2.0,6.0,5.0,7.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
129,9.0,8.0,3.0,1.0,2.0,5.0,1.0,7.0,9.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
130,8.0,1.0,2.0,6.0,6.0,3.0,2.0,5.0,7.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
131,2.0,7.0,4.0,7.0,1.0,8.0,7.0,7.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
132,6.0,3.0,9.0,1.0,4.0,9.0,7.0,8.0,9.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
133,4.0,7.0,6.0,4.0,2.0,9.0,4.0,7.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
134,8.0,4.0,6.0,5.0,1.0,9.0,1.0,3.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
135,6.0,6.0,4.0,6.0,5.0,3.0,3.0,6.0,2.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
136,6.0,9.0,2.0,4.0,1.0,5.0,5.0,9.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
137,3.0,2.0,8.0,3.0,4.0,1.0,5.0,6.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
138,3.0,7.0,9.0,8.0,6.0,7.0,8.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
139,7.0,1.0,6.0,3.0,7.0,2.0,6.0,3.0,6.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
140,5.0,2.0,9.0,8.0,8.0,1.0,2.0,8.0,5.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
141,3.0,2.0,1.0,8.0,3.0,7.0,4.0,9.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
142,7.0,2.0,1.0,6.0,5.0,3.0,6.0,3.0,8.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
143,6.0,6.0,7.0,3.0,9.0,7.0,4.0,9.0,2.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
144,6.0,1.0,3.0,1.0,5.0,5.0,8.0,7.0,8.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
145,8.0,9.0,3.0,5.0,4.0,5.0,5.0,7.0,6.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
146,6.0,2.0,9.0,3.0,6.0,3.0,7.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
147,3.0,3.0,5.0,5.0,8.0,7.0,8.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
148,7.0,8.0,4.0,9.0,9.0,4.0,1.0,4.0,3.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
149,1.0,6.0,7.0,2.0,8.0,2.0,4.0,3.0,9.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
150,2.0,8.0,8.0,9.0,7.0,9.0,4.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
151,9.0,4.0,9.0,3.0,7.0,4.0,9.0,1.0,1.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
152,3.0,3.0,1.0,6.0,2.0,4.0,2.0,8.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
153,4.0,6.0,2.0,9.0,6.0,4.0,6.0,6.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
154,8.0,6.0,7.0,5.0,6.0,7.0,4.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
155,2.0,2.0,8.0,2.0,3.0,1.0,8.0,5.0,4.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
156,6.0,5.0,8.0,5.0,9.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
157,2.0,6.0,6.0,7.0,6.0,1.0,4.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
158,9.0,7.0,6.0,7.0,8.0,8.0,4.0,4.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
159,1.0,6.0,9.0,9.0,4.0,6.0,6.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
160,4.0,4.0,8.0,9.0,6.0,2.0,1.0,5.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
161,1.0,2.0,7.0,3.0,1.0,9.0,9.0,4.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
162,5.0,2.0,6.0,6.0,5.0,4.0,3.0,4.0,3.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
163,4.0,3.0,6.0,3.0,2.0,9.0,2.0,8.0,9.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
164,2.0,3.0,6.0,2.0,5.0,1.0,5.0,9.0,4.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
165,2.0,7.0,8.0,3.0,5.0,7.0,7.0,8.0,6.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
166,4.0,4.0,4.0,6.0,1.0,9.0,1.0,4.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
167,3.0,1.0,7.0,9.0,9.0,7.0,1.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
